type,beta,h,m,q0,q1,p,err,complexity_p1,average,replicon,entropy,computed_m
small M,16504.418090353738,-0.0018018136845226432,1.0e-7,1.0000110483441193e-14,1.000011048344119e-14,1.0,9.236422046493559e-7,-3.1191011547772307e-16,16504.418090353574,3.671118333899004e-9,1.0308200185309392e-6,1.0000000057353903e-7
small M,16631.37515258723,-0.0018007066309489196,1.0e-7,1.0000111242540473e-14,1.0000111242540465e-14,1.0,9.275211767548195e-7,-3.260354618992624e-16,16631.37515258706,3.615284495826555e-9,1.020302961104564e-6,1.0000000051999074e-7
small M,16758.33221482072,-0.0017997125305066564,1.0e-7,1.0000111160453523e-14,1.0000111160453517e-14,1.0,9.220175358540034e-7,-3.229156542660676e-16,16758.33221482055,3.5607147958485733e-9,1.0097053132171783e-6,1.0000000046667126e-7
small M,16885.28927705421,-0.001798828835380861,1.0e-7,1.0000110071014369e-14,1.0000110071014362e-14,1.0,9.052850491321093e-7,-2.984535280378206e-16,16885.289277054042,3.5073713580672304e-9,9.990270748728808e-7,1.0000000041357596e-7
small M,17012.2463392877,-0.0017980530737785221,1.0e-7,1.0000116483688674e-14,1.0000116483688663e-14,1.0,9.717492853432007e-7,-3.271791549014027e-16,17012.246339287532,3.455217714570973e-9,9.882682459971406e-7,1.0000000041547524e-7
small M,17139.20340152119,-0.001797382847245291,1.0e-7,1.0000112202386199e-14,1.0000112202386193e-14,1.0,9.194969884369319e-7,-3.6078272539421413e-16,17139.20340152102,3.40421874309034e-9,9.774288266382676e-7,1.000000003551466e-7
small M,17266.16046375468,-0.0017968158277655872,1.0e-7,1.0000114406369637e-14,1.0000114406369621e-14,1.0,9.39265517099865e-7,-3.476107145548095e-16,17266.16046375451,3.354340607850678e-9,9.665088168479153e-7,1.0000000029494587e-7
small M,17393.11752598817,-0.0017963497549984722,1.0e-7,1.0000113240909595e-14,1.0000113240909601e-14,1.0,9.202755963250482e-7,-3.45836696691014e-16,17393.117525987996,3.305550703435896e-9,9.5550821656791e-7,1.0000000081313688e-7
small M,17520.07458822166,-0.0017959824351950213,1.0e-7,1.0000115175338083e-14,1.0000115175338072e-14,1.0,9.373067427345208e-7,-3.361372032979968e-16,17520.074588221487,3.2578176014898585e-9,9.444270258175764e-7,1.0000000060477804e-7
small M,17647.03165045515,-0.0017957117365841797,1.0e-7,1.0000115622515002e-14,1.0000115622514981e-14,1.0,9.377758420878528e-7,-3.5151732315177495e-16,17647.03165045497,3.211111000090942e-9,9.332652445639077e-7,1.0000000039714927e-7
small M,17773.988712688642,-0.001795535588390747,1.0e-7,1.0000113683223093e-14,1.0000113683223096e-14,1.0,9.104236907939278e-7,-3.271554379788796e-16,17773.988712688464,3.165401675649932e-9,9.220228728717263e-7,1.0000000076092655e-7
small M,17900.94577492213,-0.001795451980017201,1.0e-7,9.99994447392601e-15,9.999944473926026e-15,1.0,9.72349325616018e-7,-3.455526230163286e-16,17900.94577492195,3.1206614371875434e-9,9.106999106585312e-7,9.999999970286305e-8
small M,18027.902837155623,-0.001795458955348165,1.0e-7,9.999943837531344e-15,9.99994383753134e-15,1.0,9.831793606350181e-7,-3.5556091285817917e-16,18027.90283715544,3.0768630828560906e-9,8.992963579754696e-7,9.999999911365258e-8
small M,18154.85989938911,-0.0017955546137066363,1.0e-7,9.999943377039582e-15,9.999943377039582e-15,1.0,9.944218904538078e-7,-3.5141446158824276e-16,18154.859899388928,3.033980358584299e-9,8.878122148283091e-7,9.999999957346078e-8
small M,18281.816961622604,-0.001795737108466625,1.0e-7,9.99994697164274e-15,9.999946971642746e-15,1.0,9.59167184296167e-7,-3.2465739223363886e-16,18281.816961622422,2.99198791872457e-9,8.76247481225503e-7,9.999999936913072e-8
small M,18408.77402385609,-0.0017960046426518316,1.0e-7,9.9999508351729e-15,9.999950835172859e-15,1.0,9.209615346304925e-7,-3.5475991085765223e-16,18408.77402385591,2.9508612885923773e-9,8.646021570875835e-7,9.999999916539396e-8
