type,beta,h,m,q0,q1,p,err,beta_p1,h_p1,m_p1,q0_p1,q1_p1,p_p1,err_p1
finite M,0.5,-0.0615379676359359,0.5,0.25384804607160816,0.2538480460716082,1.3944172992869698e-5,9.495904213915086e-7,0.5,-0.061537967635936504,0.5,0.25384804607160816,0.2538480460716082,1.0,9.495904213915086e-7
finite M,1.0,-0.11765528965255527,0.5,0.26468933201395695,0.26468933201395706,1.3944172992869698e-5,9.700961788486206e-7,1.0,-0.11765528965255626,0.5,0.26468933201395706,0.264689332013957,1.0,9.700961788486204e-7
finite M,1.5,-0.1645182623973891,0.5,0.2806422272996437,0.2806422272996438,1.3944172992869698e-5,9.250342200468393e-7,1.5,-0.16451826239738904,0.5,0.2806422272996437,0.28064222729964383,1.0,9.250342200468393e-7
finite M,2.0,-0.20076830384333122,0.5,0.29923159691907847,0.29923159691907864,1.3944172992869698e-5,9.631791973591305e-7,2.0,-0.20076830384333144,0.5,0.2992315969190785,0.2992315969190786,1.0,9.631791973591303e-7
finite M,2.5,-0.22725943168209073,0.5,0.3181923453651815,0.3181923453651817,1.3944172992869698e-5,9.983176304406761e-7,2.5,-0.22725943168209117,0.5,0.3181923453651816,0.3181923453651816,1.0,9.983176304406757e-7
finite M,3.0,-0.2459741565922744,0.5,0.33601711436404136,0.3360171143640415,1.3944172992869698e-5,9.91459533172233e-7,3.0,-0.2459741565922749,0.5,0.33601711436404147,0.33601711436404136,1.0,9.91459533172233e-7
finite M,3.5,-0.25900579648091004,0.5,0.3519965669201895,0.35199656692018977,1.3944172992869698e-5,9.980521171301446e-7,3.5,-0.2590057964809108,0.5,0.35199656692018966,0.3519965669201896,1.0,9.980521171301444e-7
finite M,4.0,-0.2680665973171743,0.5,0.36596657913509634,0.36596657913509667,1.3944172992869698e-5,9.710889485830554e-7,4.0,-0.2680665973171744,0.5,0.36596657913509656,0.36596657913509667,1.0,9.710889484313715e-7
finite M,4.5,-0.2744008356222869,0.5,0.3780439514272989,0.3780439514272999,1.3944172992869698e-5,9.355719541173927e-7,4.5,-0.2744008356222874,0.5,0.3780439514272998,0.3780439514273003,1.0,9.355719542642268e-7
finite M,5.0,-0.27886549737091504,0.5,0.38845366918168245,0.3884536691817692,1.3944172992869698e-5,9.870806505826483e-7,5.0,-0.27886549737091515,0.5,0.38845366918176905,0.38845366918183144,1.0,9.870806588708413e-7
finite M,5.5,-0.2820438750220188,0.5,0.39743845946254264,0.3974384594689039,1.3944172992869698e-5,9.614897709325161e-7,5.5,-0.2820438750220533,0.5,0.3974384594688916,0.3974384594734783,1.0,9.614903108935959e-7
finite M,6.0,-0.28433203250148886,0.5,0.4052225237114321,0.40522252398575265,1.3944172992869698e-5,9.459353019766984e-7,6.0,-0.2843320325057329,0.5,0.40522252398435454,0.40522252418216637,1.0,9.459553979479479e-7
finite M,6.5,-0.2860079456397898,0.5,0.4119974149219317,0.41199742203287804,1.3944172992869698e-5,9.395623156099515e-7,6.5,-0.28600794590729395,0.5,0.4119974219514859,0.4119974270791816,1.0,9.400037581896573e-7
finite M,7.0,-0.28727468624725283,0.5,0.4179212698317834,0.4179213829522317,1.3944172992869698e-5,9.408885101100232e-7,7.0,-0.28727469520581034,0.5,0.417921380417743,0.417921461988761,1.0,9.466716475363192e-7
finite M,7.5,-0.2882882828990079,0.5,0.4231218644047413,0.4231229863016977,1.3944172992869698e-5,9.500362722594276e-7,7.5,-0.2882884546984066,0.5,0.42312294089524055,0.4231237498893614,1.0,9.949280111173084e-7
finite M,8.0,-0.28917355691964985,0.5,0.42769945507774426,0.4277064671323464,1.3944172992869698e-5,9.773972837577554e-7,8.0,-0.28917959135887866,0.5,0.4277049944063906,0.4277100504295214,1.0,9.600960319766284e-7
finite M,8.5,-0.29003160857593485,0.5,0.43172932362437993,0.4317571260569559,1.3944172992869698e-5,9.64235349363868e-7,8.5,-0.2900538193788992,0.5,0.4317519931284359,0.431773211760614,1.0,9.834368222049419e-7
finite M,9.0,-0.29095522328571416,0.5,0.43527210349179324,0.43534326396091305,1.842785810969197e-5,9.983133542771644e-7,9.0,-0.29099633162253735,0.5,0.43533414852832475,0.43539681361295457,1.0,9.984318696408265e-7
finite M,9.5,-0.2920298643522804,0.5,0.43845649151494503,0.4390654338724003,0.8957269840635337,9.97978443809545e-7,9.5,-0.29207738926171956,0.5,0.43851002331332206,0.43907799737364644,1.0,1.2294633704691817e-6
finite M,10.0,-0.2917959373406022,0.5,0.4397433722304603,0.44323079210233585,0.4559280426915645,9.9699159865809e-7,10.0,-0.2933682500780649,0.5,0.4413263499843868,0.44583216497120814,1.0,9.993020751636327e-7
finite M,10.5,-0.291511627709124,0.5,0.44047426071979434,0.4472320650758901,0.40814038438050715,9.974152569944332e-7,10.5,-0.2949218461583993,0.5,0.4438244102555428,0.4524343147107061,1.0,9.983771920702738e-7
finite M,11.0,-0.2913870578477199,0.5,0.4410424726201275,0.4510368449014953,0.4018619405088685,9.943818839414703e-7,11.0,-0.2967801021834614,0.5,0.44603998142118806,0.4582985468606741,1.0,9.884540308172863e-7
finite M,11.5,-0.2913521787069397,0.5,0.44151238853636504,0.45456035461830857,0.4008554304587739,9.87505363190314e-7,11.5,-0.29897462612045816,0.5,0.4480044128485444,0.4634467098581947,1.0,9.82933124399147e-7
finite M,12.0,-0.2913586107795895,0.5,0.441902607792783,0.4577611437259712,0.39858408235692133,9.936608652179138e-7,12.0,-0.3015275794637922,0.5,0.44974540342119246,0.46794835734944507,1.0,9.888406761172416e-7
finite M,12.5,-0.2913843952841654,0.5,0.4422275184628474,0.46064232434508945,0.39445810193814534,9.725669764720649e-7,12.5,-0.30445269467612845,0.5,0.45128756884038607,0.47188051074021575,1.0,9.808916807419684e-7
finite M,13.0,-0.29142162724926013,0.5,0.4425050926563118,0.46323629375219194,0.3892887826068358,9.93613604689244e-7,13.0,-0.3077563789893067,0.5,0.4526528647238899,0.4753168018939805,1.0,9.881892114025008e-7
finite M,13.5,-0.2914673455413292,0.5,0.4427530210282499,0.4655746594767491,0.38362853298876876,9.63404507256237e-7,13.5,-0.31143884718805115,0.5,0.4538609114215575,0.4783219303732505,1.0,9.725317380899356e-7
finite M,14.0,-0.2915217028744967,0.5,0.4429902762493437,0.467695276547643,0.37811186065078695,9.424350365678754e-7,14.0,-0.31549522598964297,0.5,0.45492925330461825,0.48095351735042197,1.0,9.974097239648078e-7
finite M,14.5,-0.29158692941029346,0.5,0.4432383453445716,0.46963536409211415,0.37331019818646755,9.341075959230709e-7,14.5,-0.3199166133450192,0.5,0.455873570741862,0.4832597905796637,1.0,9.888847503485101e-7
finite M,15.0,-0.29167314900450614,0.5,0.4435428771399145,0.47142843152381353,0.37002068029898233,9.943692443299443e-7,15.0,-0.3246907768958594,0.5,0.45670789674010465,0.4852834086164986,1.0,9.852397671738625e-7
finite M,15.5,-0.2917268277764547,0.5,0.44370719483830684,0.4729891018019282,0.36306728654339915,9.982379608407957e-7,15.5,-0.329802461728418,0.5,0.4574448410221852,0.48704372568043064,1.0,9.56181604837676e-7
finite M,16.0,-0.2917886577308467,0.5,0.44388743583358575,0.4744369510638114,0.35714351364390595,9.707612661115815e-7,16.0,-0.3352358582638698,0.5,0.4580955105617592,0.4886066533018539,1.0,9.790953237246343e-7
finite M,16.5,-0.2918528865001589,0.5,0.4440648392955013,0.47576660452957004,0.3514864909745531,9.857672399906817e-7,16.5,-0.34097302169463867,0.5,0.45866992101626164,0.4899817023381475,1.0,9.587267180772936e-7
finite M,17.0,-0.291916560077945,0.5,0.4442302956921723,0.47698441110400075,0.3458364634624471,9.712003803261403e-7,17.0,-0.34699490857671844,0.5,0.45917703728914294,0.49119182261431865,1.0,9.456669509119109e-7
finite M,17.5,-0.29197996143293425,0.5,0.44438648485476107,0.47810274015173704,0.34024865714592645,9.85489888981866e-7,17.5,-0.35327967569903773,0.5,0.4596251111977474,0.49225703880648547,1.0,9.688051317922003e-7
finite M,18.0,-0.29204264097115984,0.5,0.44453329091652755,0.4791319839320805,0.3347293354832792,9.939748320448255e-7,18.0,-0.3597998643238823,0.5,0.4600220837333599,0.49319532913588876,1.0,9.726638398923592e-7
finite M,18.5,-0.29210447466844947,0.5,0.44467157813301345,0.4800815086045334,0.32929745880158917,9.928452870730112e-7,18.5,-0.36658163440512515,0.5,0.46036940598390597,0.49402622064020696,1.0,9.309498282144145e-7
finite M,19.0,-0.29216543112722515,0.5,0.4448023261870302,0.4809595981885394,0.3239702474192082,9.825257838702405e-7,19.0,-0.37357721183814463,0.5,0.46067593280611213,0.49475752911032556,1.0,9.502126271961952e-7
finite M,19.5,-0.29222616433729504,0.5,0.444928426927987,0.48177443406783216,0.31879629442290985,9.891664031174758e-7,19.5,-0.38077374469291775,0.5,0.4609461305800547,0.4954015864885522,1.0,9.616508002248448e-7
finite M,20.0,-0.292286299143539,0.5,0.44504910711568624,0.48253156874520886,0.31375246819657165,9.954551758137208e-7,20.0,-0.3881556669635494,0.5,0.46118428046638593,0.49596888317558063,1.0,9.666068518221975e-7
finite M,20.5,-0.29234580975297514,0.5,0.4451645150556156,0.4832362969794544,0.3088336390269864,9.982474866384379e-7,20.5,-0.3957082106750569,0.5,0.4613941680389119,0.49646857449131826,1.0,9.666424584481192e-7
finite M,21.0,-0.2924048246932859,0.5,0.44527499530568376,0.48389339537425724,0.30403821894277466,9.973387953847456e-7,21.0,-0.40341746887219876,0.5,0.4615791363664034,0.4969086639723309,1.0,9.629927880985197e-7
finite M,21.5,-0.29246357561193126,0.5,0.4453808937950201,0.48450710239558886,0.29936446135147965,9.932482228571913e-7,21.5,-0.4112704061570992,0.5,0.46174213648258583,0.49729615428195373,1.0,9.566297932126125e-7
finite M,22.0,-0.29252238136285796,0.5,0.44548250975661496,0.4850811670716773,0.2948097671089508,9.865919859750046e-7,22.0,-0.41925485313034944,0.5,0.46188577243714696,0.4976371899915608,1.0,9.483167467192672e-7
finite M,22.5,-0.29258163739647985,0.5,0.4455800890491786,0.4856189096615414,0.2903707494627539,9.77923736781861e-7,22.5,-0.42735948880984065,0.5,0.4620123414091791,0.49793719152869365,1.0,9.386515565649422e-7
finite M,23.0,-0.2926427198557624,0.5,0.4456759648733387,0.486124073331273,0.28607455834320816,9.93999541982361e-7,23.0,-0.43557381413384233,0.5,0.46212386936421307,0.49820096481130954,1.0,9.28101128481736e-7
finite M,23.5,-0.2927045469908863,0.5,0.44576648836269317,0.4865978445072128,0.28186050824437736,9.884158193900092e-7,23.5,-0.44388300659017965,0.5,0.46222256657534255,0.4984331539437205,1.0,9.880531422953491e-7
finite M,24.0,-0.2927681501273167,0.5,0.4458530591502483,0.48704308287512676,0.27774375437523247,9.772689834844774e-7,24.0,-0.4522882527198588,0.5,0.4623091579966763,0.49863676740003177,1.0,9.755682661336066e-7
finite M,24.5,-0.29283523982298065,0.5,0.4459382478012629,0.48746275954091395,0.2737536253945802,9.914862171971442e-7,24.5,-0.46077631312880485,0.5,0.46238545489107036,0.49881546878456184,1.0,9.625667596962654e-7
finite M,25.0,-0.2929045031166268,0.5,0.4460182911605776,0.4878574709436925,0.26983333387377506,9.836288174456522e-7,25.0,-0.46933957431532386,0.5,0.46245268390678596,0.498972139914944,1.0,9.497313405511312e-7
finite M,25.5,-0.2929781788647276,0.5,0.44609682723631017,0.48823015278066517,0.2660263822126003,9.984804335313424e-7,25.5,-0.4779710872560019,0.5,0.46251192344620035,0.4991093174868009,1.0,9.371997732986021e-7
finite M,26.0,-0.293054776059866,0.5,0.44617020853213396,0.48858120295773844,0.2622808899734924,9.900213269308993e-7,26.0,-0.48665878823471,0.5,0.462564551713244,0.4992296852444482,1.0,9.92691494772414e-7
finite M,26.5,-0.2931353386890394,0.5,0.4462399149843391,0.48891256223535523,0.2586124676856374,9.763163863757957e-7,26.5,-0.49540818904937944,0.5,0.4626105478890218,0.4993344809365916,1.0,9.798522143124904e-7
finite M,27.0,-0.293221569038562,0.5,0.44630856851286294,0.4892263418414596,0.2550491506937141,9.89748486792375e-7,27.0,-0.5042083932487808,0.5,0.4626510773487006,0.49942597269060635,1.0,9.671238447586301e-7
finite M,27.5,-0.29331141751053935,0.5,0.44637220579753994,0.48952258280355715,0.25153906586216546,9.80331562145074e-7,27.5,-0.513054519076509,0.5,0.46268679323198536,0.49950580767622765,1.0,9.550155440657573e-7
finite M,28.0,-0.29340709968084766,0.5,0.44643460799672885,0.4898035193859104,0.24812397274401024,9.94896585224458e-7,28.0,-0.5219421566165783,0.5,0.46271826839364993,0.4995754003946452,1.0,9.435523751689434e-7
finite M,28.5,-0.29350641417420387,0.5,0.44649196621498444,0.4900691153954798,0.2447563201644045,9.854105243685855e-7,28.5,-0.5308609992587765,0.5,0.4627464391676711,0.4996363764305645,1.0,9.968838956949504e-7
