type,beta,h,m,q0,q1,p,err,beta_p1,h_p1,m_p1,q0_p1,q1_p1,p_p1,err_p1
small M,16504.418090353738,-0.0018018136845226432,1.0e-7,1.000011036198094e-14,1.0000110481285531e-14,0.0002638185516302164,9.236182532892036e-7,16504.418090353738,-0.0018018136845226432,1.0e-7,1.0000110483441193e-14,1.000011048344119e-14,1.0,9.236422046493559e-7
small M,16631.37515258723,-0.0018007066308578122,1.0e-7,1.0000027794676896e-14,1.000010975683999e-14,0.0002638185516302164,9.106770760986045e-7,16631.37515258723,-0.0018007066309489196,1.0e-7,1.0000111242540473e-14,1.0000111242540465e-14,1.0,9.275211767548195e-7
small M,16758.33221482072,-0.0018962517910936934,1.0e-7,1.0000323146654725e-14,8.116419838676679e-8,1.7272875982087936,9.322011442069227e-7,16758.33221482072,-0.0017997125305066564,1.0e-7,1.0000111160453523e-14,1.0000111160453517e-14,1.0,9.220175358540034e-7
small M,16885.28927705421,-0.0019003289432295099,1.0e-7,9.999865498781927e-15,8.315679841595012e-8,1.6919325749131398,8.998248093770076e-7,16885.28927705421,-0.001798828835380861,1.0e-7,1.0000110071014369e-14,1.0000110071014362e-14,1.0,9.052850491321093e-7
small M,17012.2463392877,-0.0019032360461991235,1.0e-7,1.0000257412825338e-14,8.462539691934445e-8,1.6633811498754236,9.485962011560776e-7,17012.2463392877,-0.0017980530737785221,1.0e-7,1.0000116483688674e-14,1.0000116483688663e-14,1.0,9.717492853432007e-7
small M,17139.20340152119,-0.001905516040341528,1.0e-7,1.0000341582305728e-14,8.580639354430946e-8,1.63864763271529,9.024186886136437e-7,17139.20340152119,-0.001797382847245291,1.0e-7,1.0000112202386199e-14,1.0000112202386193e-14,1.0,9.194969884369319e-7
small M,17266.16046375468,-0.0019073835615763097,1.0e-7,1.0000130845951967e-14,8.679316443196911e-8,1.616518632392693,9.49501146673398e-7,17266.16046375468,-0.0017968158277655872,1.0e-7,1.0000114406369637e-14,1.0000114406369621e-14,1.0,9.39265517099865e-7
small M,17393.11752598817,-0.0019089469036486276,1.0e-7,9.999959483465849e-15,8.763912705966069e-8,1.5962716299134376,9.170629499916537e-7,17393.11752598817,-0.0017963497549984722,1.0e-7,1.0000113240909595e-14,1.0000113240909601e-14,1.0,9.202755963250482e-7
small M,17520.07458822166,-0.0019102795035336726,1.0e-7,9.999844594421246e-15,8.83776095321368e-8,1.5774769931083357,9.505062894751801e-7,17520.07458822166,-0.0017959824351950213,1.0e-7,1.0000115175338083e-14,1.0000115175338072e-14,1.0,9.373067427345208e-7
small M,17647.03165045515,-0.0019114297250006468,1.0e-7,9.999824578997705e-15,8.903092224175151e-8,1.5598470539905906,9.837377798323428e-7,17647.03165045515,-0.0017957117365841797,1.0e-7,1.0000115622515002e-14,1.0000115622514981e-14,1.0,9.377758420878528e-7
small M,17773.988712688642,-0.001912434653361073,1.0e-7,9.999819132246104e-15,8.961515239196253e-8,1.5431829707332798,9.769482764417644e-7,17773.988712688642,-0.001795535588390747,1.0e-7,1.0000113683223093e-14,1.0000113683223096e-14,1.0,9.104236907939278e-7
small M,17900.94577492213,-0.0019133197445029377,1.0e-7,9.99984979741405e-15,9.014176615920283e-8,1.5273389477515598,9.661152795719452e-7,17900.94577492213,-0.001795451980017201,1.0e-7,9.99994447392601e-15,9.999944473926026e-15,1.0,9.72349325616018e-7
small M,18027.902837155623,-0.0019141002705795264,1.0e-7,1.000010046576524e-14,9.061900104913408e-8,1.5121979155329432,9.18416687024148e-7,18027.902837155623,-0.001795458955348165,1.0e-7,9.999943837531344e-15,9.99994383753134e-15,1.0,9.831793606350181e-7
small M,18154.85989938911,-0.0019147951359273449,1.0e-7,1.0000319018997551e-14,9.10557510399708e-8,1.4976605945849975,9.315505071033684e-7,18154.85989938911,-0.0017955546137066363,1.0e-7,9.999943377039582e-15,9.999943377039582e-15,1.0,9.944218904538078e-7
small M,18281.816961622604,-0.001915423392279818,1.0e-7,1.0000310241249706e-14,9.145659651934933e-8,1.4836842107827737,8.953035580156713e-7,18281.816961622604,-0.001795737108466625,1.0e-7,9.99994697164274e-15,9.999946971642746e-15,1.0,9.59167184296167e-7
small M,18408.77402385609,-0.001915989141443688,1.0e-7,1.000032280441196e-14,9.182549006442618e-8,1.470203159492479,9.396585408176677e-7,18408.77402385609,-0.0017960046426518316,1.0e-7,9.9999508351729e-15,9.999950835172859e-15,1.0,9.209615346304925e-7
small M,18535.731086089585,-0.0019165005477415795,1.0e-7,1.0000337826343294e-14,9.21664009993383e-8,1.457167670270927,9.931126431245698e-7,18535.731086089585,-0.0017963554684800364,1.0e-7,9.999951119502339e-15,9.999951119502342e-15,1.0,9.241967179045164e-7
small M,18662.68814832307,-0.00191696475416305,1.0e-7,1.0000336251109958e-14,9.248249663066146e-8,1.4445383888439962,9.855824314035966e-7,18662.68814832307,-0.0017967878868332204,1.0e-7,9.999945626191146e-15,9.99994562619116e-15,1.0,9.903496216149861e-7
small M,18789.645210556566,-0.001917387254187419,1.0e-7,1.0000325000144656e-14,9.277642291720614e-8,1.4322810632506868,9.80018627574196e-7,18789.645210556566,-0.0017973002434617865,1.0e-7,9.99995156070098e-15,9.999951560700965e-15,1.0,9.296953609816607e-7
small M,18916.602272790053,-0.0019177727476623531,1.0e-7,1.0000308452905363e-14,9.30504433634354e-8,1.4203663791964218,9.77779730739113e-7,18916.602272790053,-0.001797890928929406,1.0e-7,9.999950160652869e-15,9.99995016065287e-15,1.0,9.504586185079339e-7
small M,19043.559335023547,-0.0019181252773200774,1.0e-7,1.0000289406736388e-14,9.330650926685578e-8,1.4087690044635077,9.472712304854862e-7,19043.559335023547,-0.0017985583766322144,1.0e-7,9.999950055506198e-15,9.999950055506182e-15,1.0,9.568700155921185e-7
small M,19170.516397257034,-0.0019184478037146924,1.0e-7,1.0000290469213395e-14,9.354633309068041e-8,1.3974655713071533,9.928362113304991e-7,19170.516397257034,-0.0017993010614926954,1.0e-7,9.999950995679604e-15,9.999950995679579e-15,1.0,9.517026890109999e-7
small M,19297.473459490524,-0.0019187444991285686,1.0e-7,1.0000268514442291e-14,9.377135787221849e-8,1.3864394100844315,9.272977585882787e-7,19297.473459490524,-0.001800117498566949,1.0e-7,9.999952769836426e-15,9.99995276983643e-15,1.0,9.373048513780162e-7
small M,19424.430521724014,-0.0019190169469936904,1.0e-7,1.0000265722551953e-14,9.398292208251616e-8,1.3756707982520848,9.433861739646016e-7,19424.430521724014,-0.0018010062417331385,1.0e-7,9.999955186709947e-15,9.999955186709934e-15,1.0,9.158017131880406e-7
small M,19551.387583957505,-0.001919268014061188,1.0e-7,1.0000261606960421e-14,9.418215287956e-8,1.3651457858617262,9.495514369426642e-7,19551.387583957505,-0.0018019658824310336,1.0e-7,9.999949238283216e-15,9.999949238283203e-15,1.0,9.872834204990653e-7
small M,19678.344646190995,-0.0019194993440160076,1.0e-7,1.0000265038379604e-14,9.437006925009405e-8,1.3548495172620667,9.939588550030121e-7,19678.344646190995,-0.0018029950484503461,1.0e-7,9.999952869267419e-15,9.999952869267425e-15,1.0,9.523620870317405e-7
small M,19805.301708424486,-0.0019197135692216056,1.0e-7,1.0000258705083614e-14,9.454757369540139e-8,1.3447721608667424,9.625934249830067e-7,19805.301708424486,-0.0018040924027656654,1.0e-7,9.999956794866286e-15,9.999956794866286e-15,1.0,9.142032893357373e-7
small M,19932.258770657976,-0.0019199118753921289,1.0e-7,1.0000251893923339e-14,9.471547835040392e-8,1.3349013605564184,9.291114681604381e-7,19932.258770657976,-0.001805256642415924,1.0e-7,9.999952204072486e-15,9.999952204072497e-15,1.0,9.707080949784626e-7
small M,20059.215832891467,-0.001920095210726665,1.0e-7,1.0000261546003972e-14,9.487454066700292e-8,1.3252258533576187,9.795555541364274e-7,20059.215832891467,-0.0018064864974264082,1.0e-7,9.999956888227122e-15,9.999956888227119e-15,1.0,9.241928516424472e-7
small M,20186.172895124957,-0.0019202658237534385,1.0e-7,1.000025338210789e-14,9.502535764549951e-8,1.3157388442973217,9.396739930624167e-7,20186.172895124957,-0.0018077807294539462,1.0e-7,9.999953011845082e-15,9.999953011845097e-15,1.0,9.742559963336928e-7
small M,20313.129957358447,-0.0019204238741907461,1.0e-7,1.0000261688291782e-14,9.516858328722032e-8,1.3064295188608919,9.839246448938284e-7,20313.129957358447,-0.0018091381320435454,1.0e-7,9.99995825939784e-15,9.999958259397845e-15,1.0,9.216293602501704e-7
small M,20440.087019591938,-0.0019205713660710552,1.0e-7,1.0000252614291711e-14,9.530469014534345e-8,1.297292539841886,9.396989631934426e-7,20440.087019591938,-0.001810557527807334,1.0e-7,9.999954781130291e-15,9.999954781130277e-15,1.0,9.65993083828527e-7
small M,20567.04408182543,-0.0019207082364433958,1.0e-7,1.0000259804293901e-14,9.543423269406766e-8,1.2883184096265339,9.788063413873584e-7,20567.04408182543,-0.0018120377687235682,1.0e-7,9.999960418751554e-15,9.999960418751532e-15,1.0,9.091039514431303e-7
small M,20694.00114405892,-0.001920836293556892,1.0e-7,1.00002501555304e-14,9.555758678419226e-8,1.279502900550619,9.3177065859268e-7,20694.00114405892,-0.001813577734942816,1.0e-7,9.999957392190146e-15,9.999957392190135e-15,1.0,9.485202640232229e-7
small M,20820.95820629241,-0.001920955309504098,1.0e-7,1.0000256413254674e-14,9.56752283560895e-8,1.2708375847312596,9.665613795412017e-7,20820.95820629241,-0.0018151763339290569,1.0e-7,9.999954402754127e-15,9.999954402754125e-15,1.0,9.875598540377511e-7
